"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3188499","Adrian  Holzer and Nava  Tintarev and Samuel  Bendahan and Bruno  Kocher and Shane  Greenup and Denis  Gillet","","","","Digitally Scaffolding Debate in the Classroom","LBW054:1--LBW054:6","LBW054","6","critical thinking, hci, interaction systems, scaffolded online debate","10.1145/3170427.3188499","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174229","Anke  van Oosterhout and Miguel  Bruns Alonso and Satu  Jumisko-Pyykk&#246;","","","","Ripple Thermostat: Affecting the Emotional Experience Through Interactive Force Feedback and Shape Change","655:1--655:12","655","12","actuated interfaces, affective computing, haptic force feedback, shape-changing interfaces","10.1145/3173574.3174229","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173775","Sabrina  Hauser and Ron  Wakkary and William  Odom and Peter-Paul  Verbeek and Audrey  Desjardins and Henry  Lin and Matthew  Dalton and Markus  Schilling and Gijs  de Boer","","","","Deployments of the Table-non-table: A Reflection on the Relation Between Theory and Things in the Practice of Design Research","201:1--201:13","201","13","design theory, field studies, postphenomenology, research through design","10.1145/3173574.3173775","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170603","Sara  Price and Kerstin  Leder Mackley and Carey  Jewitt and Gijs  Huisman and Bruna  Petreca and Nadia  Berthouze and Domenico  Prattichizzo and Vincent  Hayward","","","","Reshaping Touch Communication: An Interdisciplinary Research Agenda","W17:1--W17:8","W17","8","affective haptics, communication, digital touch, haptic, methods, sensory embodiment","10.1145/3170427.3170603","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170618","Anton  Nijholt and Robert J. K. Jacob and Marvin  Andujar and Beste F. Yuksel and Grace  Leslie","","","","Brain-Computer Interfaces for Artistic Expression","W22:1--W22:7","W22","7","artistic expression, artistic tools, artists' control of tools, brain painting, brain-computer interfaces, joint performances, mind music, multi-brain control","10.1145/3170427.3170618","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170613","Amanda  Lazar and Austin L. Toombs and Kellie  Morrissey and Gail  Kenning and Jennifer  Boger and Rens  Brankaert","","","","HCIxDementia Workshop: Engaging People Living with Dementia","W01:1--W01:7","W01","7","agenda-building, citizenship, dementia, engagement, human-centered design","10.1145/3170427.3170613","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174130","Abdallah  El Ali and Tim C. Stratmann and Souneil  Park and Johannes  Sch&#246;ning and Wilko  Heuten and Susanne C.J. Boll","","","","Measuring, Understanding, and Classifying News Media Sympathy on Twitter After Crisis Events","556:1--556:13","556","13","crisis informatics, cross-cultural, crowdsourcing, news media bias, nlp, sentiment analysis, sympathy, twitter","10.1145/3173574.3174130","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173873","Jason  Alexander and Anne  Roudaut and J&#252;rgen  Steimle and Kasper  Hornb&#230;k and Miguel  Bruns Alonso and Sean  Follmer and Timothy  Merritt","","","","Grand Challenges in Shape-Changing Interface Research","299:1--299:14","299","14","grand challenges, research agenda, shape-changing interfaces","10.1145/3173574.3173873","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173807","Mark  Blythe and Enrique  Encinas and Jofish  Kaye and Miriam Lueck Avery and Rob  McCabe and Kristina  Andersen","","","","Imaginary Design Workbooks: Constructive Criticism and Practical Provocation","233:1--233:12","233","12","design fiction, research through design, well being","10.1145/3173574.3173807","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173763","Meng-Ju  Hsieh and Rong-Hao  Liang and Da-Yuan  Huang and Jheng-You  Ke and Bing-Yu  Chen","","","","RFIBricks: Interactive Building Blocks Based on RFID","189:1--189:10","189","10","building blocks, constructive assembly, rfid, tangible user interface","10.1145/3173574.3173763","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173648","Julio  Vega and Samuel  Couth and Ellen  Poliakoff and Sonja  Kotz and Matthew  Sullivan and Caroline  Jay and Markel  Vigo and Simon  Harper","","","","Back to Analogue: Self-Reporting for Parkinson's Disease","74:1--74:13","74","13","ema, paper diary, parkinson's disease, self-report","10.1145/3173574.3173648","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170604","Michael  Smyth and Ingi  Helgason and Frank  Kresin and Mara  Balestrini and Andreas B. Unteidig and Shaun  Lawson and Mark  Gaved and Nick  Taylor and James  Auger and Lone Koefoed  Hansen and Douglas C. Schuler and Mel  Woods and Paul  Dourish","","","","Maker Movements, Do-It-Yourself Cultures and Participatory Design: Implications for HCI Research","W32:1--W32:7","W32","7","diy approaches, grassroots hci, maker culture, participatory design, research in-the-wild, social innovation","10.1145/3170427.3170604","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
